SIDO_NM,CCG_NM,segment,rule_segment,cluster,생활밀착지수,한식지향지수,양식지향지수,건당평균결제금액,월별변동계수CV,총소비금액,총건수,low_sample
강원특별자치도,강릉시,프리미엄외식형,로컬미식형,1,-1.0709472812034235,30.266998728577484,17.052775939162196,18695.089001553464,0.08433662813504278,4200020000,224659,False
강원특별자치도,고성군,프리미엄외식형,생활밀착형,1,10.808558332016155,17.261793571192506,23.92194617274726,10296.345613256399,0.26048765565767523,695930000,67590,False
강원특별자치도,동해시,로컬미식형,생활밀착형,2,25.25386805125386,23.44007739582536,10.794351218357845,21761.6588158672,0.06739025677239273,1436770000,66023,False
강원특별자치도,삼척시,로컬미식형,로컬미식형,2,-2.5601369410492794,34.77732064025947,12.668548605063215,21388.014644485836,0.16658978576305733,665980000,31138,False
강원특별자치도,속초시,로컬미식형,로컬미식형,2,-6.873139971505253,36.40576775160891,13.833581607583884,20911.231761112995,0.1099595215014067,3081270000,147350,False
강원특별자치도,양구군,로컬미식형,생활밀착형,2,18.669323039887104,29.010500975387043,7.307101647781513,21552.98116920875,0.12453216200503017,481860000,22357,True
강원특별자치도,양양군,로컬미식형,로컬미식형,2,-4.189728306290114,37.12884557768422,11.881672106848322,19767.15915466617,0.1479109312394057,634170000,32082,False
강원특별자치도,영월군,프리미엄외식형,생활밀착형,1,3.7240954037923686,38.712092849120175,6.338229788358624,16093.212830054936,0.23654889453186395,454070000,28215,False
강원특별자치도,원주시,로컬미식형,생활밀착형,2,5.860312776103591,31.743769912926037,11.323482601568937,18017.661168209896,0.0606040107036363,6723020000,373135,False
강원특별자치도,인제군,로컬미식형,로컬미식형,2,-10.342388228636104,31.503489907564607,21.585549896245993,14301.902063941723,0.1828107664344661,212040000,14826,True
강원특별자치도,정선군,로컬미식형,로컬미식형,2,-12.425990669682967,44.048405078636605,7.203394416963427,20312.424422311633,0.12572255141813993,923870000,45483,False
강원특별자치도,철원군,생활밀착형,생활밀착형,0,11.724137931034491,33.93888421642837,6.731146621811046,22138.778550148956,0.11643110576951578,356700000,16112,True
강원특별자치도,춘천시,로컬미식형,생활밀착형,2,8.604184393168111,30.670232225816115,11.680961515085933,18561.47610898025,0.10227065732068812,3373010000,181721,False
강원특별자치도,태백시,로컬미식형,생활밀착형,2,15.186162415713873,29.38417231448428,9.141704175073723,24609.345159784407,0.09938846253363413,579870000,23563,False
강원특별자치도,평창군,로컬미식형,로컬미식형,2,-3.7197104018912484,39.28690159574468,8.527260638297872,19783.68897983046,0.13056651071988248,1082880000,54736,False
강원특별자치도,홍천군,로컬미식형,로컬미식형,2,-0.20850404432942327,38.625171387079234,7.516692493043104,17171.774867651155,0.08916808848048575,1232590000,71780,False
강원특별자치도,화천군,로컬미식형,로컬미식형,2,-1.1814117993810527,36.56973031389694,7.89900280001965,18120.883033647853,0.1274481403889909,407140000,22468,True
강원특별자치도,횡성군,생활밀착형,생활밀착형,0,34.25717639004353,24.283583549317814,5.80346227199374,20388.344674593085,0.15101736558505768,817960000,40119,False
경기도,가평군,로컬미식형,생활밀착형,2,7.527783323351294,34.1838024888534,9.011778798163306,21972.189323156555,0.1344838055064884,1502700000,68391,False
경기도,고양시 덕양구,로컬미식형,생활밀착형,2,19.33271369507387,27.234827286107695,9.716897633951575,19120.783285878602,0.04786435174095226,4056130000,212132,False
경기도,고양시 일산동구,로컬미식형,생활밀착형,2,24.296545964148883,23.65394846736633,11.140833474514558,17643.847541533814,0.05374481992353942,3364470000,190688,False
경기도,고양시 일산서구,로컬미식형,생활밀착형,2,23.449540973466696,23.78337845223116,10.470973509064027,15406.601439863194,0.04425292053988548,2360430000,153209,False
경기도,과천시,로컬미식형,로컬미식형,2,-38.58916081240338,50.70786843595513,16.04450770620016,11611.957275134626,0.30141825809219003,653370000,56267,False
경기도,광명시,로컬미식형,로컬미식형,2,-8.064229240223767,35.298956786225666,13.590238436157628,15229.510639162412,0.051695765741138475,2248820000,147662,False
경기도,광주시,생활밀착형,생활밀착형,0,42.9142661393292,17.588988197190993,7.978781933501501,17428.581766866282,0.052948754372394956,9633300000,552730,False
경기도,구리시,로컬미식형,생활밀착형,2,5.340643720174633,35.15348427928385,9.243578028226215,16874.35750999429,0.0718319180219964,1477350000,87550,False
경기도,군포시,로컬미식형,생활밀착형,2,16.680920079135575,28.21103750084472,7.873010250805687,15662.906092713782,0.04305778993021595,4291370000,273983,False
경기도,김포시,생활밀착형,생활밀착형,0,43.99172643605391,15.912794117561328,9.242058293880582,17795.93441616108,0.05022682792678097,17153430000,963896,False
경기도,남양주시,생활밀착형,생활밀착형,0,25.60053562699362,24.020283829048253,10.219139154599526,16245.716386963602,0.07275090469668771,5257390000,323617,False
경기도,동두천시,생활밀착형,생활밀착형,0,39.111679908530455,16.96149573510209,10.495611670163905,14931.710156174217,0.05130200948033063,1539310000,103090,False
경기도,부천시 소사구,로컬미식형,생활밀착형,2,34.03760157996219,18.684280925698797,5.559835513188036,18770.978080718276,0.04371500052721174,6840670000,364428,False
경기도,부천시 오정구,생활밀착형,생활밀착형,0,37.29808874716022,22.36916150815982,5.9937681068800925,13220.26892979169,0.06055988901517561,1919160000,145168,False
경기도,부천시 원미구,로컬미식형,생활밀착형,2,14.083793134752923,26.450517970081805,9.892623339419188,15368.111830657319,0.06531984378374395,7930960000,516066,False
경기도,성남시 분당구,로컬미식형,로컬미식형,2,-10.330212417958009,26.76508209440332,23.746304179160813,16422.46815691035,0.07011690231895397,3815120000,232311,False
경기도,성남시 수정구,로컬미식형,생활밀착형,2,23.829248068443366,22.662177137498933,6.9737525282662105,14656.546640429562,0.049279518914210466,5161640000,352173,False
경기도,성남시 중원구,로컬미식형,생활밀착형,2,5.707756983335692,33.26025711760713,8.77451674486961,14693.972722641929,0.03847244161109593,2048090000,139383,False
경기도,수원시 권선구,로컬미식형,생활밀착형,2,38.13736474037435,21.669897556765267,5.9325960395640704,17745.7968288538,0.03993666440538079,6453330000,363654,False
경기도,수원시 영통구,프리미엄외식형,로컬미식형,1,-3.421468626681744,25.587600673851334,18.888029907922366,12596.02422815451,0.07872427039864303,3466640000,275217,False
경기도,수원시 장안구,로컬미식형,생활밀착형,2,38.22369422747284,19.002729176319196,7.936549515640783,17172.59838003638,0.04121993644843886,6108070000,355687,False
경기도,수원시 팔달구,로컬미식형,생활밀착형,2,2.254015530262741,24.729938713557477,13.633328696619836,18461.652338504162,0.07228567418768105,12221300000,661983,False
